transaccion_id,fecha_venta,cliente_id,producto_id,estacion_id,cantidad,precio_unitario,importe,canal
1,2024-04-18 17:13:36,107,11,19,1.0,20.682,20.68,pos
2,2024-11-13 11:35:24,161,7,60,24.2,0.5695,13.78,pos
3,2024-10-01 01:59:32,621,5,58,9.74,1.0474,10.2,app
4,2026-01-17 11:20:39,,6,51,27.64,0.4479,12.38,pos
5,2025-11-04 07:27:35,988,1,49,38.51,1.4466,55.71,web
6,2025-04-11 09:26:36,313,9,23,11.43,0.9445,10.8,pos
7,2025-08-05 18:29:22,985,2,43,22.52,1.6817,37.87,pos
8,2024-10-21 13:45:46,,9,48,17.29,1.0147,17.54,web
9,2025-08-02 15:51:00,631,11,10,2.0,23.3552,46.71,web
10,2024-07-12 08:51:28,1159,3,25,56.96,1.5882,90.46,app
11,2025-06-25 11:57:19,1001,11,48,3.0,20.4431,61.33,pos
12,2025-10-20 17:22:10,497,8,5,28.04,1.1734,32.9,app
13,2024-02-13 21:27:46,1322,3,34,48.3,1.5852,76.57,pos
14,2025-01-19 08:17:32,1358,3,2,21.42,1.3835,29.63,app
15,2025-08-20 01:31:19,1201,2,67,65.05,1.7917,116.55,pos
16,2025-10-25 02:55:19,619,9,69,21.46,0.9322,20.01,pos
17,2025-10-01 09:53:43,1491,2,14,49.99,1.7648,88.22,pos
18,2024-08-09 16:44:39,430,12,51,3.0,4.3618,13.09,web
19,2026-02-02 20:46:19,,2,54,43.87,1.7318,75.97,app
20,2024-09-22 01:42:22,,3,18,25.89,1.4047,36.37,web
21,2025-12-01 01:51:06,436,3,26,18.24,1.4049,25.63,app
22,2025-02-06 21:20:24,838,8,14,26.71,1.1359,30.34,pos
23,2025-08-09 18:44:26,,2,44,16.63,1.6183,26.91,pos
24,2024-06-05 14:26:14,,5,1,7.32,1.1509,8.42,pos
25,2024-11-23 21:11:55,15,7,67,59.32,0.573,33.99,web
26,2026-01-05 03:21:34,1238,7,44,27.28,0.5843,15.94,web
27,2025-01-07 04:49:28,1363,7,49,39.76,0.5918,23.53,app
28,2024-06-04 14:52:58,,12,52,3.0,4.7415,14.22,web
29,2024-02-09 21:26:08,1087,5,32,4.95,1.1208,5.55,pos
30,2026-01-08 04:43:07,1353,4,1,69.24,1.7386,120.38,app
31,2024-01-26 20:01:21,94,12,42,3.0,4.4599,13.38,pos
32,2025-09-13 15:14:22,167,6,55,56.83,0.4818,27.38,pos
33,2024-06-05 01:15:38,602,10,25,3.0,23.5726,70.72,pos
34,2026-02-22 22:13:00,,8,12,12.53,1.2332,15.45,pos
35,2025-12-26 03:40:44,,8,15,17.05,1.2078,20.59,pos
36,2024-09-21 18:12:11,1352,12,12,1.0,4.4531,4.45,app
