estacion_id,ts_hora,temperatura,viento_kmh,precipitacion_mm
EST001,2025-01-01T00:00:00,5.2,12.0,0.0
EST001,2025-01-01T01:00:00,4.8,11.5,0.0
EST001,2025-01-01T02:00:00,4.5,10.2,0.0
EST001,2025-01-01T03:00:00,4.1,9.8,0.0
EST001,2025-01-01T04:00:00,3.9,9.1,0.1
EST001,2025-01-01T05:00:00,3.7,8.5,0.2
EST001,2025-01-01T06:00:00,3.5,8.0,0.0
EST001,2025-01-01T07:00:00,3.8,8.2,0.0
EST001,2025-01-01T08:00:00,4.5,9.0,0.0
EST001,2025-01-01T09:00:00,6.1,10.5,0.0
EST002,2025-01-01T00:00:00,7.1,18.5,0.0
EST002,2025-01-01T01:00:00,6.9,17.8,0.0
EST002,2025-01-01T02:00:00,6.5,17.2,0.0
EST002,2025-01-01T03:00:00,6.2,16.8,0.0
EST002,2025-01-01T04:00:00,5.9,16.1,0.0
EST002,2025-01-01T05:00:00,5.6,15.5,0.3
EST002,2025-01-01T06:00:00,5.4,15.0,0.5
EST002,2025-01-01T07:00:00,5.8,15.5,0.4
EST002,2025-01-01T08:00:00,6.5,16.0,0.0
EST002,2025-01-01T09:00:00,8.2,17.5,0.0
EST003,2025-01-01T00:00:00,2.1,5.0,0.0
EST003,2025-01-01T01:00:00,1.8,4.5,0.0
EST003,2025-01-01T02:00:00,1.5,4.2,0.0
EST003,2025-01-01T03:00:00,1.2,3.8,0.0
EST003,2025-01-01T04:00:00,0.9,3.5,0.0
EST003,2025-01-01T05:00:00,0.7,3.2,0.0
EST003,2025-01-01T06:00:00,0.5,3.0,0.0
EST003,2025-01-01T07:00:00,0.9,3.5,0.0
EST003,2025-01-01T08:00:00,2.0,4.5,0.0
EST003,2025-01-01T09:00:00,4.5,6.0,0.0
