tx_id,ts,cliente_id,estacion_id,provincia,importe,medio_pago
TX0000001,2025-05-01T08:12:33,CLI00045,EST001,Madrid,42.50,tarjeta
TX0000002,2025-05-01T08:15:10,CLI00112,EST001,Madrid,55.20,tarjeta
TX0000003,2025-05-01T08:22:48,CLI00087,EST002,Barcelona,38.10,tarjeta
TX0000004,2025-05-01T09:01:55,CLI00045,EST003,Valencia,48.75,tarjeta
TX0000005,2025-05-01T09:34:21,CLI00200,EST001,Madrid,61.40,app
TX0000006,2025-05-01T10:12:09,CLI00112,EST004,Sevilla,52.80,tarjeta
TX0000007,2025-05-01T11:45:33,CLI00045,EST005,Zaragoza,750.00,tarjeta
TX0000008,2025-05-01T12:18:12,CLI00321,EST002,Barcelona,44.30,tarjeta
TX0000009,2025-05-01T13:55:47,CLI00087,EST006,Bilbao,40.10,app
TX0000010,2025-05-01T14:32:11,CLI00200,EST001,Madrid,59.20,app
TX0000011,2025-05-01T15:18:55,CLI00045,EST007,Málaga,820.00,tarjeta
TX0000012,2025-05-01T16:42:08,CLI00500,EST003,Valencia,47.60,tarjeta
TX0000013,2025-05-01T18:21:30,CLI00112,EST001,Madrid,53.90,tarjeta
TX0000014,2025-05-01T19:55:14,CLI00087,EST002,Barcelona,39.40,app
TX0000015,2025-05-01T20:33:42,CLI00200,EST008,Murcia,62.10,app
TX0000016,2025-05-02T03:12:11,CLI00321,EST005,Zaragoza,890.00,tarjeta
TX0000017,2025-05-02T08:05:30,CLI00045,EST001,Madrid,45.20,tarjeta
TX0000018,2025-05-02T08:42:18,CLI00112,EST001,Madrid,57.80,tarjeta
TX0000019,2025-05-02T09:15:22,CLI00500,EST003,Valencia,49.10,tarjeta
TX0000020,2025-05-02T10:48:55,CLI00087,EST002,Barcelona,41.30,app
